accuracy,precision,recall,f1,kappa,set,modelo
0.8741590382706518,0.8719017328361482,0.8770962047661077,0.8744912550874492,0.7483185449397172,test,Regresión logistica Bal
0.8759478313618441,0.8723648279628619,0.8807830162668873,0.8765537110714776,0.7518954629642068,train,Regresión logistica Bal
0.8714,0.8805398504468357,0.8844110642974904,0.8824712118442698,0.7404987742703768,test,Regresión logistica Esta
0.878975,0.883505201062728,0.8969552893846576,0.8901794423901456,0.7554211043577326,train,Regresión logistica Esta
0.8701,0.8739661992089176,0.8904561274958783,0.8821341076127394,0.7374913517647412,test,Regresión logistica
0.875725,0.8752386449407272,0.9012069123159916,0.8880329752010271,0.748476933212186,train,Regresión logistica
0.8949,0.9057437407952872,0.9012639677596628,0.9034983013497382,0.7881194653014276,test,Decision tree Esta II
0.904475,0.9141926306612216,0.9108073511931974,0.9124968511690752,0.8073315454850412,train,Decision tree Esta II
0.9001874931068711,0.9016611295681064,0.898278905560459,0.8999668398364099,0.800374716681147,test,Decision tree Bal
0.905037637521714,0.9075173370319002,0.902012682657844,0.9047566371681416,0.8100753690458438,train,Decision tree Bal
0.9182,0.90990990990991,0.9435794101483788,0.9264388489208631,0.8343901656750254,test,Random Forest Esta
0.9209,0.9129878156454176,0.9454603639023498,0.9289403943763196,0.8398096963494575,train,Random Forest Esta
